STATION,LAT,LON,ELEV(M),X,Y,Z,TEMP,DAY_OF_YEAR
720576,38.533,-121.783,21.0,-2631308.25619,-4246678.68554,3951908.67558,60.4,100
720577,32.15,-94.85,135.0,-457007.509688,-5385985.75014,3374597.48795,71.6,100
720577,32.15,-94.85,135.0,-457007.509688,-5385985.75014,3374597.48795,72.0,100
720578,32.717,-98.892,391.1,-830337.238545,-5307270.80237,3427806.0337,76.4,100
720578,32.717,-98.892,391.1,-830337.238545,-5307270.80237,3427806.0337,77.2,100
720581,40.617,-74.25,7.0,1316049.83865,-4666360.74052,4130235.25415,60.7,100
720584,26.967,-99.25,129.2,-914409.889855,-5614687.28238,2875015.71583,80.5,100
720584,26.967,-99.25,129.2,-914409.889855,-5614687.28238,2875015.71583,81.7,100
720586,42.683,-90.45,312.1,-36882.9256682,-4695983.38896,4301892.11113,66.1,100
720586,42.683,-90.45,312.1,-36882.9256682,-4695983.38896,4301892.11113,66.9,100
720587,29.976,-92.084,15.2,-201081.908875,-5525942.20502,3168077.03079,70.3,100
720589,44.783,-88.55,248.1,114750.838445,-4533334.52661,4470438.95045,71.1,100
720592,30.46,-87.877,28.0,203843.30935,-5498829.84394,3214447.12656,69.6,100
720592,30.46,-87.877,28.0,203843.30935,-5498829.84394,3214447.12656,67.9,100
720593,41.333,-86.667,208.2,278858.232092,-4788290.85342,4190400.72716,68.2,100
720594,29.717,-95.383,69.2,-520092.717934,-5519485.243,3143201.70424,73.8,100
720596,34.3,-81.633,173.1,767541.607096,-5218578.12385,3574083.5892,62.5,100
720596,34.3,-81.633,173.1,767541.607096,-5218578.12385,3574083.5892,61.4,100
720597,34.5,-81.95,212.1,736906.395651,-5210365.48899,3592412.07551,62.8,100
720597,34.5,-81.95,212.1,736906.395651,-5210365.48899,3592412.07551,63.7,100
720598,33.183,-80.033,22.3,924842.841764,-5262767.4969,3470974.66621,61.7,100
720599,34.783,-81.2,200.3,802313.116482,-5182627.43646,3618235.07446,62.5,100
720601,33.65,-81.683,161.2,768814.071988,-5259104.58212,3514285.10943,61.1,100
720601,33.65,-81.683,161.2,768814.071988,-5259104.58212,3514285.10943,62.2,100
720602,33.25,-81.383,75.3,799993.306607,-5279114.89561,3477220.45128,64.1,100
720602,33.25,-81.383,75.3,799993.306607,-5279114.89561,3477220.45128,63.0,100
720603,34.283,-80.567,92.1,864659.071765,-5204377.57475,3572479.93179,63.6,100
720604,33.717,-79.85,20.1,935893.628072,-5227649.27037,3520390.72832,61.3,100
720605,34.717,-79.95,73.2,915890.68869,-5167898.354,3612146.58373,61.9,100
720605,34.717,-79.95,73.2,915890.68869,-5167898.354,3612146.58373,63.3,100
720606,32.701,-80.003,5.2,932641.996843,-5290895.55278,3426104.4408,63.4,100
720607,34.717,-80.85,148.1,834613.668443,-5181707.77141,3612189.24104,63.2,100
720607,34.717,-80.85,148.1,834613.668443,-5181707.77141,3612189.24104,62.7,100
720608,34.181,-79.335,28.0,977525.604508,-5190786.57805,3563089.32622,62.7,100
720608,34.181,-79.335,28.0,977525.604508,-5190786.57805,3563089.32622,63.8,100
720609,32.917,-80.633,31.1,872301.366184,-5288045.37749,3446251.94323,61.1,100
720611,34.0,-80.367,55.2,885763.573892,-5218667.56599,3546477.43123,62.6,100
720612,32.412,-80.634,38.1,877129.08152,-5317889.81076,3399109.1258,64.4,100
720613,33.828,-79.122,10.1,1000945.60053,-5208606.79429,3530619.50039,60.5,100
720613,33.828,-79.122,10.1,1000945.60053,-5208606.79429,3530619.50039,61.9,100
720614,38.909,-121.351,37.2,-2585636.88767,-4244110.74496,3984484.35731,57.6,100
720615,38.033,-120.417,646.2,-2546982.44103,-4338276.7965,3908727.85239,55.0,100
720615,38.033,-120.417,646.2,-2546982.44103,-4338276.7965,3908727.85239,55.8,100
720616,36.533,-93.2,397.2,-286438.676583,-5123331.07418,3776114.06266,68.8,100
720616,36.533,-93.2,397.2,-286438.676583,-5123331.07418,3776114.06266,68.9,100
720617,29.8,-95.9,51.2,-569404.107183,-5510009.64851,3151179.9577,73.2,100
720619,41.133,-104.867,1877.6,-1234721.97057,-4651205.50808,4174794.36389,43.6,100
720624,44.016,-97.086,523.0,-566787.401783,-4559524.14513,4409733.69249,50.9,100
720624,44.016,-97.086,523.0,-566787.401783,-4559524.14513,4409733.69249,55.3,100
720625,36.75,-97.35,314.3,-654604.922589,-5074848.6205,3795387.65381,72.6,100
720625,36.75,-97.35,314.3,-654604.922589,-5074848.6205,3795387.65381,72.5,100
720626,35.883,-101.033,845.2,-990228.922228,-5078667.49816,3718176.57055,69.5,100
720627,35.283,-95.1,183.2,-463361.914701,-5191868.44892,3663646.99762,70.2,100
720627,35.283,-95.1,183.2,-463361.914701,-5191868.44892,3663646.99762,70.4,100
720628,35.483,-97.817,413.0,-707228.129454,-5151523.18273,3681872.00814,71.0,100
720628,35.483,-97.817,413.0,-707228.129454,-5151523.18273,3681872.00814,70.9,100
720629,43.663,-84.261,194.2,462141.125329,-4598383.64778,4381214.5974,66.7,100
720631,34.617,-79.733,45.1,936577.348278,-5170578.78403,3603006.46771,64.3,100
720631,34.617,-79.733,45.1,936577.348278,-5170578.78403,3603006.46771,65.8,100
720632,33.063,-80.279,17.1,903465.865834,-5273853.54296,3459825.68173,62.3,100
720632,33.063,-80.279,17.1,903465.865834,-5273853.54296,3459825.68173,61.7,100
720633,34.4,-80.117,111.3,904253.120025,-5190228.69943,3583207.26681,62.2,100
720633,34.4,-80.117,111.3,904253.120025,-5190228.69943,3583207.26681,60.4,100
720634,34.315,-81.109,176.2,815090.924798,-5210416.34109,3575459.81236,64.8,100
720635,35.3,-112.2,2035.2,-1969656.14105,-4826495.0392,3666256.69731,48.2,100
720635,35.3,-112.2,2035.2,-1969656.14105,-4826495.0392,3666256.69731,47.0,100
720636,38.35,-93.683,251.2,-321734.456246,-4998270.37635,3936140.74369,70.5,100
